scenario,algorithm,temperature,annealing,solved,iterations,cost,time
0,CBS,,False,True,27,69.0,0.01688098907470703
0,F-CBS (T=1.0),1.0,False,True,6,69.0,0.004249095916748047
0,F-CBS (T=2.0),2.0,False,True,6,69.0,0.0038111209869384766
0,F-CBS (T=5.0),5.0,False,True,6,69.0,0.0038046836853027344
0,F-CBS (T=10.0),10.0,False,True,6,69.0,0.004503488540649414
0,F-CBS (T=12.0),12.0,False,True,6,69.0,0.0036919116973876953
0,F-CBS Anneal (T=1.0→0),1.0,True,True,6,69.0,0.0035462379455566406
0,F-CBS Anneal (T=2.0→0),2.0,True,True,6,69.0,0.003502368927001953
0,F-CBS Anneal (T=5.0→0),5.0,True,True,6,69.0,0.00467371940612793
0,F-CBS Anneal (T=10.0→0),10.0,True,True,6,69.0,0.004573345184326172
0,F-CBS Anneal (T=12.0→0),12.0,True,True,6,69.0,0.004060983657836914
1,CBS,,False,True,3,84.0,0.003988027572631836
1,F-CBS (T=1.0),1.0,False,True,3,84.0,0.0041522979736328125
1,F-CBS (T=2.0),2.0,False,True,3,84.0,0.0031290054321289062
1,F-CBS (T=5.0),5.0,False,True,3,84.0,0.002965688705444336
1,F-CBS (T=10.0),10.0,False,True,3,84.0,0.0028722286224365234
1,F-CBS (T=12.0),12.0,False,True,3,84.0,0.002733945846557617
1,F-CBS Anneal (T=1.0→0),1.0,True,True,3,84.0,0.004915952682495117
1,F-CBS Anneal (T=2.0→0),2.0,True,True,3,84.0,0.003188610076904297
1,F-CBS Anneal (T=5.0→0),5.0,True,True,3,84.0,0.002884387969970703
1,F-CBS Anneal (T=10.0→0),10.0,True,True,3,84.0,0.003024578094482422
1,F-CBS Anneal (T=12.0→0),12.0,True,True,3,84.0,0.00386810302734375
2,CBS,,False,False,1024,inf,0.4541919231414795
2,F-CBS (T=1.0),1.0,False,False,1024,inf,0.5446019172668457
2,F-CBS (T=2.0),2.0,False,False,1024,inf,0.6461641788482666
2,F-CBS (T=5.0),5.0,False,False,1024,inf,0.5434582233428955
2,F-CBS (T=10.0),10.0,False,False,1024,inf,0.6216146945953369
2,F-CBS (T=12.0),12.0,False,False,1024,inf,0.5732262134552002
2,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.5606188774108887
2,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.5831012725830078
2,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,0.5596396923065186
2,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,0.539313554763794
2,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,0.6018562316894531
3,CBS,,False,False,1024,inf,1.0468111038208008
3,F-CBS (T=1.0),1.0,False,False,1024,inf,1.2610533237457275
3,F-CBS (T=2.0),2.0,False,False,1024,inf,1.2563989162445068
3,F-CBS (T=5.0),5.0,False,False,1024,inf,1.2489018440246582
3,F-CBS (T=10.0),10.0,False,False,1024,inf,1.459599494934082
3,F-CBS (T=12.0),12.0,False,False,1024,inf,1.253016471862793
3,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,1.2080533504486084
3,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,1.2076373100280762
3,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,1.1908133029937744
3,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,1.252631425857544
3,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,1.286808967590332
4,CBS,,False,False,1024,inf,1.57572603225708
4,F-CBS (T=1.0),1.0,False,False,1024,inf,1.5973303318023682
4,F-CBS (T=2.0),2.0,False,False,1024,inf,1.5842366218566895
4,F-CBS (T=5.0),5.0,False,False,1024,inf,1.5958523750305176
4,F-CBS (T=10.0),10.0,False,False,1024,inf,1.7067618370056152
4,F-CBS (T=12.0),12.0,False,False,1024,inf,1.774721384048462
4,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,1.658928394317627
4,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,1.5719058513641357
4,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,2.0766353607177734
4,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,1.7621541023254395
4,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,1.9347593784332275
5,CBS,,False,False,1024,inf,1.1718344688415527
5,F-CBS (T=1.0),1.0,False,False,1024,inf,1.767890214920044
5,F-CBS (T=2.0),2.0,False,False,1024,inf,1.642035961151123
5,F-CBS (T=5.0),5.0,False,False,1024,inf,1.0641014575958252
5,F-CBS (T=10.0),10.0,False,False,1024,inf,1.0594749450683594
5,F-CBS (T=12.0),12.0,False,False,1024,inf,1.0058472156524658
5,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,1.2972862720489502
5,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,1.2431411743164062
5,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,1.2492852210998535
5,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,1.210731029510498
5,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,1.2086808681488037
6,CBS,,False,True,15,89.0,0.009759902954101562
6,F-CBS (T=1.0),1.0,False,True,6,89.0,0.004578113555908203
6,F-CBS (T=2.0),2.0,False,True,6,89.0,0.005102872848510742
6,F-CBS (T=5.0),5.0,False,True,6,89.0,0.0056438446044921875
6,F-CBS (T=10.0),10.0,False,True,6,89.0,0.0057315826416015625
6,F-CBS (T=12.0),12.0,False,True,6,89.0,0.004664897918701172
6,F-CBS Anneal (T=1.0→0),1.0,True,True,6,89.0,0.004431962966918945
6,F-CBS Anneal (T=2.0→0),2.0,True,True,6,89.0,0.004864215850830078
6,F-CBS Anneal (T=5.0→0),5.0,True,True,6,89.0,0.0044558048248291016
6,F-CBS Anneal (T=10.0→0),10.0,True,True,6,89.0,0.004145145416259766
6,F-CBS Anneal (T=12.0→0),12.0,True,True,6,89.0,0.005390644073486328
7,CBS,,False,False,1024,inf,0.5053846836090088
7,F-CBS (T=1.0),1.0,False,False,1024,inf,0.5730197429656982
7,F-CBS (T=2.0),2.0,False,False,1024,inf,0.6168553829193115
7,F-CBS (T=5.0),5.0,False,False,1024,inf,0.5819227695465088
