scenario,algorithm,temperature,solved,iterations,cost,time
0,F-CBS (T=0.1),0.1,False,1024,inf,0.2914109230041504
0,F-CBS (T=0.2),0.2,False,1024,inf,0.2913682460784912
0,F-CBS (T=0.5),0.5,False,1024,inf,0.3198995590209961
0,F-CBS (T=1.0),1.0,False,1024,inf,0.28404712677001953
0,CBS,,False,1024,inf,0.28088903427124023
1,F-CBS (T=0.1),0.1,False,1024,inf,0.6131162643432617
1,F-CBS (T=0.2),0.2,False,1024,inf,0.7373809814453125
1,F-CBS (T=0.5),0.5,False,1024,inf,0.8020467758178711
1,F-CBS (T=1.0),1.0,False,1024,inf,0.8950996398925781
1,CBS,,False,1024,inf,0.40845346450805664
2,F-CBS (T=0.1),0.1,False,1024,inf,0.46194005012512207
2,F-CBS (T=0.2),0.2,False,1024,inf,0.45420026779174805
2,F-CBS (T=0.5),0.5,False,1024,inf,0.48020029067993164
2,F-CBS (T=1.0),1.0,False,1024,inf,0.4395301342010498
2,CBS,,False,1024,inf,0.3942854404449463
3,F-CBS (T=0.1),0.1,False,1024,inf,0.7798473834991455
3,F-CBS (T=0.2),0.2,False,1024,inf,0.7927846908569336
3,F-CBS (T=0.5),0.5,False,1024,inf,0.7952051162719727
3,F-CBS (T=1.0),1.0,False,1024,inf,0.7867617607116699
3,CBS,,False,1024,inf,0.8732621669769287
4,F-CBS (T=0.1),0.1,False,1024,inf,0.7481989860534668
4,F-CBS (T=0.2),0.2,False,1024,inf,0.75270676612854
4,F-CBS (T=0.5),0.5,False,1024,inf,0.7438304424285889
4,F-CBS (T=1.0),1.0,False,1024,inf,0.7434036731719971
4,CBS,,False,1024,inf,0.8098692893981934
5,F-CBS (T=0.1),0.1,False,1024,inf,0.5948104858398438
5,F-CBS (T=0.2),0.2,False,1024,inf,0.558743953704834
5,F-CBS (T=0.5),0.5,False,1024,inf,0.5743248462677002
5,F-CBS (T=1.0),1.0,False,1024,inf,0.5675783157348633
5,CBS,,False,1024,inf,0.9306302070617676
6,F-CBS (T=0.1),0.1,False,1024,inf,0.6402335166931152
6,F-CBS (T=0.2),0.2,False,1024,inf,0.6433429718017578
6,F-CBS (T=0.5),0.5,False,1024,inf,0.6471614837646484
6,F-CBS (T=1.0),1.0,False,1024,inf,0.6673955917358398
6,CBS,,True,8,100.0,0.0058634281158447266
7,F-CBS (T=0.1),0.1,False,1024,inf,0.5900712013244629
7,F-CBS (T=0.2),0.2,False,1024,inf,0.5650863647460938
7,F-CBS (T=0.5),0.5,False,1024,inf,0.554326057434082
7,F-CBS (T=1.0),1.0,False,1024,inf,0.5754990577697754
7,CBS,,False,1024,inf,0.550872802734375
8,F-CBS (T=0.1),0.1,True,6,87.0,0.0036766529083251953
8,F-CBS (T=0.2),0.2,True,6,87.0,0.00395512580871582
8,F-CBS (T=0.5),0.5,True,6,87.0,0.0037250518798828125
8,F-CBS (T=1.0),1.0,True,9,87.0,0.005890846252441406
8,CBS,,True,5,87.0,0.003828287124633789
9,F-CBS (T=0.1),0.1,False,1024,inf,0.5587527751922607
9,F-CBS (T=0.2),0.2,False,1024,inf,0.5672833919525146
9,F-CBS (T=0.5),0.5,False,1024,inf,0.5663332939147949
