scenario,algorithm,temperature,annealing,solved,iterations,cost,time
0,CBS,,False,True,27,69.0,0.011352062225341797
0,F-CBS (T=1.0),1.0,False,True,6,69.0,0.0022516250610351562
0,F-CBS (T=2.0),2.0,False,True,6,69.0,0.0021820068359375
0,F-CBS (T=5.0),5.0,False,True,6,69.0,0.002185821533203125
0,F-CBS (T=10.0),10.0,False,True,6,69.0,0.002170562744140625
0,F-CBS (T=12.0),12.0,False,True,6,69.0,0.0021848678588867188
0,F-CBS Anneal (T=1.0→0),1.0,True,True,6,69.0,0.002184152603149414
0,F-CBS Anneal (T=2.0→0),2.0,True,True,6,69.0,0.0022253990173339844
0,F-CBS Anneal (T=5.0→0),5.0,True,True,6,69.0,0.002179861068725586
0,F-CBS Anneal (T=10.0→0),10.0,True,True,6,69.0,0.0021834373474121094
0,F-CBS Anneal (T=12.0→0),12.0,True,True,6,69.0,0.0022001266479492188
1,CBS,,False,True,3,84.0,0.0019960403442382812
1,F-CBS (T=1.0),1.0,False,True,3,84.0,0.00176239013671875
1,F-CBS (T=2.0),2.0,False,True,3,84.0,0.0017688274383544922
1,F-CBS (T=5.0),5.0,False,True,3,84.0,0.0017592906951904297
1,F-CBS (T=10.0),10.0,False,True,3,84.0,0.0017805099487304688
1,F-CBS (T=12.0),12.0,False,True,3,84.0,0.0017502307891845703
1,F-CBS Anneal (T=1.0→0),1.0,True,True,3,84.0,0.0017426013946533203
1,F-CBS Anneal (T=2.0→0),2.0,True,True,3,84.0,0.0017359256744384766
1,F-CBS Anneal (T=5.0→0),5.0,True,True,3,84.0,0.0017359256744384766
1,F-CBS Anneal (T=10.0→0),10.0,True,True,3,84.0,0.0017368793487548828
1,F-CBS Anneal (T=12.0→0),12.0,True,True,3,84.0,0.0017368793487548828
2,CBS,,False,False,1024,inf,0.2619452476501465
2,F-CBS (T=1.0),1.0,False,False,1024,inf,0.3017582893371582
2,F-CBS (T=2.0),2.0,False,False,1024,inf,0.3235323429107666
2,F-CBS (T=5.0),5.0,False,False,1024,inf,0.31120896339416504
2,F-CBS (T=10.0),10.0,False,False,1024,inf,0.3129920959472656
2,F-CBS (T=12.0),12.0,False,False,1024,inf,0.2864701747894287
2,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.3062925338745117
2,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.5200948715209961
2,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,0.4933171272277832
2,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,0.5129978656768799
2,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,0.5080082416534424
3,CBS,,False,False,1024,inf,0.914332389831543
3,F-CBS (T=1.0),1.0,False,False,1024,inf,1.0441498756408691
3,F-CBS (T=2.0),2.0,False,False,1024,inf,1.0417981147766113
3,F-CBS (T=5.0),5.0,False,False,1024,inf,1.0284671783447266
3,F-CBS (T=10.0),10.0,False,False,1024,inf,1.1025254726409912
3,F-CBS (T=12.0),12.0,False,False,1024,inf,1.1450343132019043
3,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,1.1406803131103516
3,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,1.2151787281036377
3,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,1.0762317180633545
3,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,1.0746967792510986
3,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,1.0527875423431396
4,CBS,,False,False,1024,inf,1.2863569259643555
4,F-CBS (T=1.0),1.0,False,False,1024,inf,1.3528475761413574
4,F-CBS (T=2.0),2.0,False,False,1024,inf,1.3045070171356201
4,F-CBS (T=5.0),5.0,False,False,1024,inf,1.3130943775177002
4,F-CBS (T=10.0),10.0,False,False,1024,inf,1.3209452629089355
4,F-CBS (T=12.0),12.0,False,False,1024,inf,1.2821094989776611
4,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,1.2810685634613037
4,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,1.3131458759307861
4,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,1.3015456199645996
4,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,1.3003919124603271
4,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,1.3258373737335205
5,CBS,,False,False,1024,inf,0.8223507404327393
5,F-CBS (T=1.0),1.0,False,False,1024,inf,1.1097636222839355
5,F-CBS (T=2.0),2.0,False,False,1024,inf,1.137176513671875
5,F-CBS (T=5.0),5.0,False,False,1024,inf,0.7389461994171143
5,F-CBS (T=10.0),10.0,False,False,1024,inf,0.7729480266571045
5,F-CBS (T=12.0),12.0,False,False,1024,inf,0.7423007488250732
5,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,1.0654568672180176
5,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,1.000786304473877
5,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,1.0378046035766602
5,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,1.0348756313323975
5,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,1.0596208572387695
6,CBS,,False,True,15,89.0,0.010454654693603516
6,F-CBS (T=1.0),1.0,False,True,6,89.0,0.004134178161621094
6,F-CBS (T=2.0),2.0,False,True,6,89.0,0.00429987907409668
6,F-CBS (T=5.0),5.0,False,True,6,89.0,0.004133462905883789
6,F-CBS (T=10.0),10.0,False,True,6,89.0,0.004090785980224609
6,F-CBS (T=12.0),12.0,False,True,6,89.0,0.004104137420654297
6,F-CBS Anneal (T=1.0→0),1.0,True,True,6,89.0,0.004186868667602539
6,F-CBS Anneal (T=2.0→0),2.0,True,True,6,89.0,0.0041217803955078125
6,F-CBS Anneal (T=5.0→0),5.0,True,True,6,89.0,0.004078865051269531
6,F-CBS Anneal (T=10.0→0),10.0,True,True,6,89.0,0.004205942153930664
6,F-CBS Anneal (T=12.0→0),12.0,True,True,6,89.0,0.004117727279663086
7,CBS,,False,False,1024,inf,0.42762255668640137
7,F-CBS (T=1.0),1.0,False,False,1024,inf,0.4771275520324707
7,F-CBS (T=2.0),2.0,False,False,1024,inf,0.49022507667541504
7,F-CBS (T=5.0),5.0,False,False,1024,inf,0.48911404609680176
7,F-CBS (T=10.0),10.0,False,False,1024,inf,0.4631776809692383
7,F-CBS (T=12.0),12.0,False,False,1024,inf,0.4891846179962158
7,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.46476292610168457
7,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.4715235233306885
7,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,0.46452832221984863
7,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,0.4814112186431885
7,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,0.45984721183776855
8,CBS,,False,True,51,73.0,0.0262603759765625
8,F-CBS (T=1.0),1.0,False,True,12,73.0,0.006354093551635742
8,F-CBS (T=2.0),2.0,False,True,8,73.0,0.004306793212890625
8,F-CBS (T=5.0),5.0,False,True,8,73.0,0.004411220550537109
8,F-CBS (T=10.0),10.0,False,True,8,73.0,0.004306316375732422
8,F-CBS (T=12.0),12.0,False,True,8,73.0,0.00426483154296875
8,F-CBS Anneal (T=1.0→0),1.0,True,True,14,73.0,0.007449150085449219
8,F-CBS Anneal (T=2.0→0),2.0,True,True,9,73.0,0.004919528961181641
8,F-CBS Anneal (T=5.0→0),5.0,True,True,9,73.0,0.0047991275787353516
8,F-CBS Anneal (T=10.0→0),10.0,True,True,9,73.0,0.004942417144775391
8,F-CBS Anneal (T=12.0→0),12.0,True,True,9,73.0,0.005190372467041016
9,CBS,,False,False,1024,inf,0.5538041591644287
9,F-CBS (T=1.0),1.0,False,False,1024,inf,0.5995185375213623
9,F-CBS (T=2.0),2.0,False,False,1024,inf,0.5775659084320068
9,F-CBS (T=5.0),5.0,False,False,1024,inf,0.5230021476745605
9,F-CBS (T=10.0),10.0,False,False,1024,inf,0.5205521583557129
9,F-CBS (T=12.0),12.0,False,False,1024,inf,0.5079042911529541
9,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.5202109813690186
9,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.527071475982666
9,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,0.5108845233917236
9,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,0.5289740562438965
9,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,0.5404314994812012
10,CBS,,False,True,39,73.0,0.020186662673950195
10,F-CBS (T=1.0),1.0,False,False,1024,inf,0.5281424522399902
10,F-CBS (T=2.0),2.0,False,False,1024,inf,0.5446884632110596
10,F-CBS (T=5.0),5.0,False,False,1024,inf,0.5731546878814697
10,F-CBS (T=10.0),10.0,False,False,1024,inf,0.5712969303131104
10,F-CBS (T=12.0),12.0,False,False,1024,inf,0.5836915969848633
10,F-CBS Anneal (T=1.0→0),1.0,True,True,19,74.0,0.009679079055786133
10,F-CBS Anneal (T=2.0→0),2.0,True,True,19,74.0,0.010332584381103516
10,F-CBS Anneal (T=5.0→0),5.0,True,True,19,74.0,0.011275529861450195
10,F-CBS Anneal (T=10.0→0),10.0,True,True,19,74.0,0.010442256927490234
10,F-CBS Anneal (T=12.0→0),12.0,True,True,19,74.0,0.009735345840454102
11,CBS,,False,True,1,64.0,0.0009000301361083984
11,F-CBS (T=1.0),1.0,False,True,1,64.0,0.0009002685546875
11,F-CBS (T=2.0),2.0,False,True,1,64.0,0.00106048583984375
11,F-CBS (T=5.0),5.0,False,True,1,64.0,0.0008831024169921875
11,F-CBS (T=10.0),10.0,False,True,1,64.0,0.000972747802734375
11,F-CBS (T=12.0),12.0,False,True,1,64.0,0.0011229515075683594
11,F-CBS Anneal (T=1.0→0),1.0,True,True,1,64.0,0.0008213520050048828
11,F-CBS Anneal (T=2.0→0),2.0,True,True,1,64.0,0.0007970333099365234
11,F-CBS Anneal (T=5.0→0),5.0,True,True,1,64.0,0.0007920265197753906
11,F-CBS Anneal (T=10.0→0),10.0,True,True,1,64.0,0.0007793903350830078
11,F-CBS Anneal (T=12.0→0),12.0,True,True,1,64.0,0.0007839202880859375
12,CBS,,False,False,1024,inf,0.5501289367675781
12,F-CBS (T=1.0),1.0,False,False,1024,inf,0.5664329528808594
12,F-CBS (T=2.0),2.0,False,False,1024,inf,0.6244902610778809
12,F-CBS (T=5.0),5.0,False,False,1024,inf,0.6680893898010254
12,F-CBS (T=10.0),10.0,False,False,1024,inf,0.6222491264343262
12,F-CBS (T=12.0),12.0,False,False,1024,inf,0.6148719787597656
12,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.5656085014343262
12,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.5877373218536377
12,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,0.5793704986572266
12,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,0.579047441482544
12,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,0.5784769058227539
13,CBS,,False,True,8,59.0,0.0037577152252197266
13,F-CBS (T=1.0),1.0,False,True,8,59.0,0.0034737586975097656
13,F-CBS (T=2.0),2.0,False,True,4,60.0,0.0020117759704589844
13,F-CBS (T=5.0),5.0,False,True,4,60.0,0.0019745826721191406
