iteration,cost,entropy,free_energy,num_conflicts,conflict_density,entropy_production_rate,energy_dissipation_rate,cost_change_rate,entropy_variance,energy_variance,cost_variance,entropy_autocorr,energy_autocorr,cost_autocorr,exploration_rate,conflict_persistence,phase_space_velocity,thermodynamic_efficiency,entropy_to_cost_ratio,energy_gradient,system_temperature,algorithm,seed
0,179,3.125,182.125,8,0.05555555555555555,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014172260044597706,0.0,0.0,0.017458100558659217,-0.0,3.125,F-CBS (T=1.0),1
1,179,3.521928094887362,182.52192809488736,10,0.06944444444444445,0.3969280948873615,-0.3969280948873226,-1.6100380582501755e-14,0.039387978127727645,0.039387978127726764,0.0,0.0,0.0,0.0,1.0,0.03827270232658653,0.3969280948873619,0.0,0.019675575949091407,-0.3969280948873226,3.5219280948873575,F-CBS (T=1.0),1
1,179,3.1841837197791887,182.18418371977918,10,0.06944444444444445,0.029591859889594476,-0.029591859889616517,-1.1149961686669062e-14,0.03056954312389139,0.030569543123890916,0.0,-1.0,-1.0,0.0,1.0,0.07033148443763337,0.33774437510817323,0.0,0.017788735864688206,-0.029591859889616517,3.1841837197791847,F-CBS (T=1.0),1
2,179,3.321928094887362,182.32192809488737,10,0.06944444444444445,0.025303990955390935,-0.025303990955361434,-1.9813594780062578e-14,0.023305004721558095,0.0233050047215579,0.0,-0.8818684351196894,-0.8818684351197028,0.0,1.0,0.08610874666757029,0.1377443751081735,0.0,0.018558257513337218,-0.025303990955361434,3.321928094887369,F-CBS (T=1.0),1
2,179,3.058813890331201,182.0588138903312,9,0.0625,-0.0332372219337599,0.03323722193377757,-1.8616955711013507e-14,0.027067284875789778,0.027067284875789032,0.0,-0.7023279832434747,-0.7023279832435078,0.0,1.0,0.09889450434985048,0.2631142045561612,0.005492730500828052,0.017088345756040228,0.03323722193377757,3.0588138903312085,F-CBS (T=1.0),1
3,179,2.936260027531527,181.93626002753152,11,0.0763888888888889,-0.06272280288293341,0.06272280288293453,-8.991038136376491e-15,0.035570484690702286,0.03557048469070259,0.0,-0.0722267641141678,-0.07222676411418015,0.0,1.0,0.10829600746496926,0.12255386279967384,0.0,0.016403687304645403,0.06272280288293453,2.9362600275315174,F-CBS (T=1.0),1
3,179,2.875,181.875,8,0.05555555555555555,-0.07309664157713057,0.0730966415771263,5.703731333842699e-15,0.042743531441793284,0.04274353144179349,0.0,0.2850215922749773,0.28502159227497864,0.0,1.0,0.11881253943812853,0.06126002753152715,0.016494845360824743,0.01606145251396648,0.0730966415771263,2.875,F-CBS (T=1.0),1
4,179,2.608694969562842,181.60869496956283,10,0.06944444444444445,-0.09351977343804817,0.0935197734380463,9.251008044126083e-15,0.06899549591015888,0.06899549591015999,0.0,0.5392340718172144,0.5392340718172153,0.0,1.0,0.1288130230786948,0.26630503043715814,0.0,0.014573714913758893,0.0935197734380463,2.6086949695628334,F-CBS (T=1.0),1
4,180,2.4464393446710155,182.446439344671,5,0.034722222222222224,-0.10763295840339498,0.04096629173672756,0.06666666666667166,0.10084565032650888,0.07466555058301898,0.09876543209876544,0.7309930248041296,0.07020119117429904,0.0,1.0,0.13437562588089003,1.0130779278066604,0.0274053032657666,0.013591329692616753,0.04096629173672756,2.446439344671006,F-CBS (T=1.0),1
5,179,2.952819531114783,181.95281953111478,8,0.05555555555555555,-0.08132622648499914,0.038901984060756,0.0424242424242471,0.09104206375172322,0.06970857923062099,0.09000000000000001,0.5953760881312263,-0.016922434249680224,-0.12499999999999996,1.0,0.1500541345739015,1.1209018214022248,0.0,0.01649619849784795,0.038901984060756,2.952819531114784,F-CBS (T=1.0),1
